Entity,Code_x,Year_x,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_x,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_x,change in depression,change in suicide,,Year_y,Deaths - Self-harm - Sex: Both - Age: Age-standardized (Rate)_y,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Rate)_y,population,Continent_y
Iraq,IRQ,1990,8.147584468,3682.503755,0.061358157,-1.842230528,,2017,4.094957682,3743.510699,37552789,
Ireland,IRL,1990,10.26183387,3827.400459,0.054455303,-0.681304039,,2017,8.374148078,3883.674467,4753281,
Isle of Man,IMN,1990,,,#DIV/0!,#DIV/0!,,2017,,,83610,
Israel,ISR,1990,7.711887877,3745.347061,-0.180258364,-0.950216419,,2017,5.733338007,3563.061925,8243849,
Italy,ITA,1990,7.177505432,3529.104735,-0.346423461,-1.247684418,,2017,4.759584776,3199.012272,60673694,
Jamaica,JAM,1990,1.556444974,2496.635195,-0.014070707,4.878331921,,2017,3.606515878,2487.150251,2920848,
Japan,JPN,1990,15.51772595,2772.396222,0.311284246,0.031081568,,2017,15.64795107,3005.407104,127502728,
Jordan,JOR,1990,6.004859215,3707.888823,-0.300406244,-1.718385492,,2017,3.218820217,3407.143125,9785840,
Kazakhstan,KAZ,1990,21.11994229,3296.554494,0.040591938,0.327158885,,2017,22.98552802,3332.684149,18080023,
Kenya,KEN,1990,11.33387788,3573.776697,-0.160713328,-0.090285891,,2017,11.05758978,3418.701239,50221146,
Kiribati,KIR,1990,26.08202581,3221.227697,-0.115774751,0.042118603,,2017,26.3786312,3120.534752,114153,
Kuwait,KWT,1990,2.791668079,3363.970209,0.038271117,-0.396808455,,2017,2.492573555,3398.730791,4056102,
Kyrgyzstan,KGZ,1990,17.09005256,3094.720883,-0.190332196,-1.533201398,,2017,10.01537959,2935.684127,6189727,
Laos,LAO,1990,18.0396141,2866.833239,-0.062209092,-1.974946307,,2017,8.420251403,2818.680604,6953031,
Latin America and Caribbean,,1990,6.862663615,2956.640348,-0.186313365,-0.246970926,,2017,6.405046451,2807.907713,,
Latvia,LVA,1990,25.80889431,3754.984144,-0.483412899,-1.265745181,,2017,16.98867374,3264.878046,1951097,
Lebanon,LBN,1990,5.271447645,3201.993771,0.325444158,-0.346089921,,2017,4.778861022,3483.352716,6819373,
Lesotho,LSO,1990,24.12464833,5193.414029,0.214653466,1.165331773,,2017,31.71521752,5494.405796,2091532,
Liberia,LBR,1990,11.1060148,3490.820317,0.289231389,0.702334995,,2017,13.21205337,3763.427115,4702224,
